Product_ID, Category, Unit_Price, Quantity_Sold, Unit_Production_Cost, Marketing_Investment, Price_Elasticity, Total_Revenue, Profit_Margin, Customer_Satisfaction
P01,Elettronica,299.99,150,180.00,5000,1.2,44998.5,40.0,4.5
P02,Elettronica,499.99,85,310.00,7500,0.8,42499.15,38.0,4.8
P03,Abbigliamento,45.00,1200,12.50,3000,2.1,54000.0,72.2,4.2
P04,Abbigliamento,89.00,450,35.00,4500,1.5,40050.0,60.7,4.0
P05,Casa,120.00,300,55.00,2000,1.1,36000.0,54.2,4.6
P06,Casa,250.00,140,110.00,3500,0.9,35000.0,56.0,4.7
P07,Alimentari,15.50,2500,6.20,1500,0.5,38750.0,60.0,4.3
P08,Alimentari,24.90,1100,14.00,2200,0.7,27390.0,43.8,4.1
P09,Elettronica,899.00,40,550.00,10000,0.6,35960.0,38.8,4.9
P10,Abbigliamento,25.00,2100,8.00,2500,2.5,52500.0,68.0,3.8
P11,Salute,55.00,600,20.00,4000,0.4,33000.0,63.6,4.5
P12,Salute,12.00,3500,3.50,1800,0.3,42000.0,70.8,4.2
P13,Sport,150.00,280,75.00,6000,1.4,42000.0,50.0,4.7
P14,Sport,45.00,950,18.00,3000,1.8,42750.0,60.0,4.4
P15,Casa,15.00,4200,4.50,2500,1.9,63000.0,70.0,4.1
P16,Elettronica,129.00,550,65.00,4800,1.3,70950.0,49.6,4.3
P17,Abbigliamento,110.00,210,48.00,3200,1.2,23100.0,56.4,4.5
P18,Alimentari,8.50,5600,3.10,2000,0.6,47600.0,63.5,4.2
P19,Salute,210.00,95,98.00,5500,0.5,19950.0,53.3,4.8
P20,Sport,320.00,65,145.00,7000,0.9,20800.0,54.7,4.9
P21,Elettronica,55.00,1800,22.00,3500,2.2,99000.0,60.0,3.9
P22,Casa,35.00,2200,14.00,2800,1.6,77000.0,60.0,4.2
P23,Alimentari,42.00,480,21.00,3000,0.8,20160.0,50.0,4.4
P24,Salute,85.00,410,32.00,4200,0.4,34850.0,62.4,4.6
P25,Sport,19.90,3200,7.50,2500,2.0,63680.0,62.3,4.0
P26,Abbigliamento,65.00,820,26.00,4000,1.4,53300.0,60.0,4.3
P27,Elettronica,1500.00,12,850.00,12000,0.5,18000.0,43.3,5.0
P28,Casa,199.00,175,95.00,3800,1.0,34825.0,52.3,4.5
P29,Alimentari,5.99,8500,2.10,3000,0.4,50915.0,64.9,4.2
P30,Salute,300.00,55,140.00,6500,0.3,16500.0,53.3,4.9
