Period,Revenue,COGS,Gross_Profit,Operating_Expenses,EBITDA,Depreciation_Amortization,EBIT,Interest_Expense,Tax_Provision,Net_Income,Accounts_Receivable,Inventory,Accounts_Payable,Cash_On_Hand
P01,450000,210000,240000,120000,120000,15000,105000,8000,24250,72750,85000,110000,45000,125000
P02,465000,215000,250000,122000,128000,15000,113000,8000,26250,78750,92000,108000,47000,132000
P03,440000,205000,235000,125000,110000,15000,95000,7800,21800,65400,98000,115000,42000,118000
P04,480000,225000,255000,128000,127000,15000,112000,7800,26050,78150,105000,105000,50000,145000
P05,510000,240000,270000,135000,135000,15000,120000,7500,28125,84375,112000,95000,55000,160000
P06,495000,230000,265000,132000,133000,15000,118000,7500,27625,82875,108000,102000,52000,155000
P07,525000,250000,275000,140000,135000,15000,120000,7200,28200,84600,115000,98000,58000,172000
P08,540000,260000,280000,145000,135000,15000,120000,7200,28200,84600,120000,90000,60000,185000
P09,505000,235000,270000,138000,132000,15000,117000,7000,27500,82500,110000,105000,54000,168000
P10,480000,220000,260000,130000,130000,15000,115000,7000,27000,81000,102000,112000,48000,150000
P11,560000,270000,290000,150000,140000,18000,122000,6800,28800,86400,125000,85000,65000,205000
P12,600000,290000,310000,160000,150000,18000,132000,6800,31300,93900,135000,80000,72000,230000
P13,580000,280000,300000,155000,145000,18000,127000,6500,30125,90375,130000,88000,68000,215000
P14,550000,265000,285000,148000,137000,18000,119000,6500,28125,84375,122000,95000,62000,195000
P15,530000,255000,275000,142000,133000,18000,115000,6200,27200,81600,118000,105000,58000,182000
P16,510000,245000,265000,138000,127000,18000,109000,6200,25700,77100,115000,110000,55000,175000
P17,490000,230000,260000,135000,125000,18000,107000,6000,25250,75750,110000,115000,52000,168000
P18,470000,220000,250000,130000,120000,18000,102000,6000,24000,72000,105000,120000,48000,160000
P19,455000,210000,245000,128000,117000,18000,99000,5800,23300,69900,98000,125000,45000,152000
P20,485000,225000,260000,132000,128000,20000,108000,5800,25550,76650,102000,118000,50000,165000
P21,520000,245000,275000,140000,135000,20000,115000,5500,27375,82125,115000,105000,58000,185000
P22,550000,265000,285000,145000,140000,20000,120000,5500,28625,85875,122000,95000,62000,205000
P23,590000,285000,305000,155000,150000,20000,130000,5200,31200,93600,135000,85000,70000,235000
P24,630000,310000,320000,165000,155000,20000,135000,5200,32450,97350,145000,75000,78000,260000
P25,610000,295000,315000,160000,155000,20000,135000,5000,32500,97500,140000,82000,75000,250000
P26,580000,280000,300000,155000,145000,20000,125000,5000,30000,90000,132000,90000,68000,230000
P27,540000,260000,280000,148000,132000,20000,112000,4800,26800,80400,122000,100000,60000,210000
P28,520000,250000,270000,142000,128000,20000,108000,4800,25800,77400,115000,108000,55000,195000
P29,500000,240000,260000,138000,122000,20000,102000,4500,24375,73125,110000,115000,52000,182000
P30,530000,255000,275000,142000,133000,20000,113000,4500,27125,81375,118000,105000,58000,198000
